Number,Serial,TITLE,CONTENT
1,111,貴人,占卦問貴人相助 ，問主必心誠則靈 ，亥子到臨貴人明 ，北方可望貴人顯 天雨問晴天必雨，天晴問雨主天晴，若要雨停看亥子 ，晴多雨少數分明
2,112,考運,考運文昌星有礙，待貴人他日降臨 ，丙丁星君齊下降， 進學高分上榜名，進學占之履卦爻，文書官鬼兩相交，才名二字成推薦，定主他年在錦標
3,113,學業,學業防內陰公礙，功名晉升終可望 ，學術發展期可望 ，名利可雙收大吉，鬼爻持世卦相同，又許讀書望進身，從此功名終可望，須知入泮有鴻名
4,114,取討,取討有小人阻礙，秋冬兩季討無財 ，夏春取討有所得，但還是不能還清，求物求財先覺難，爻中財盡始相還，秋冬初討無財物，夏季春時不耐煩
5,115,姻緣,姻緣未成天已定，享福難偕老死別，反覆分離不定期 ，造福姻緣得雙全，招婿未成來問卜，誰知好事多反復，應來生世得成全，福祿優然終分宿
6,116,運途,運途波折故有因，命運貴人來相助，人丁兩旺正逢時，發福興家多順意，往來命運固非宜，人旺財興值此時，發福興家多遂意，貴人相遇有扶持
7,117,求醫,求醫神秘華陀現，久久未見病災憂 ，內外陰神救星臨，甲寅春木救真人，縱有名良醫國手，淹淹未見退災憂，若逢應位來生世，甲寅之日救星臨
8,118,公職,公職考運機未到，胞胎內陰有阻礙 ，壬癸亥子榜上名，今成績平不理想，文書官鬼問蘭亭，許宴佳賓見名利，水上流年多有選，今年科舉只平平
9,121,移居,移居現在正當時，福德星強利祿深，東北西南家旺財，貴人相助家業成，移居遂君心勿疑，利祿源源福德強，財旺東南家北西，家成業就樂升平
10,122,洽約,洽約會商恐難成，春夏無利更多憂 ，旦逢庚辛兩秋冬，誠心相約事可成 ，君占會恐無成事，義氣相投事可通，若在秋冬方可望，如逢春夏事多憂
11,123,求職,求職占之百事昌，吉神臨門福神降，春冬能尋好工作，夏秋差有所阻礙，鬼爻持世福神祥，謀事占之百事昌，春季冬時方可就，夏秋占此不相當
12,124,親病,親病難醫五鬼纏 ，外陰礙願未儐還，吉凶月中才知曉，貴人化解免災殃， 財來生鬼病難醫，父母家星要護持，夙願如今還應早，一旬半月總評論
13,125,買屋,買房地產事可成，講屋買地可如意 ，春夏東北東南方，富貴榮華利安康，應來世生事宜成，買屋占之許稱心，富貴榮華從此得，家成業就永康寧
14,126,分家,分家分產免質疑，日後不會有差錯，共同意見處理佳，春秋財旺無煩惱，分家君占欲上疑，管教日後不差池，春秋財旺無煩惱，任意為來總得宜
15,127,身體,身體疾病貴人醫，內外陰礙願未還 ，庚辛亥子日秋冬，身體可平安痊癒，卦占疾病數無妨，福德天星兩字強，亥子庚辛全愈好，五行有救壽綿長
16,128,子病,兒得病不用操心，看午未日即可癒 ，查內外陰神公礙，謝神闔家平安吉，嬰兒得喜數無妨，福德臨爻不必憂，服藥且看過未午，闔家歡喜把神酬
17,131,求財,求財應緩不宜急，宜守等待好時機，甲乙寅卯東南方，財神臨門貴可得，緩不濟急莫心憂，允時宜少定無多，有望方甲乙卯寅，卦爻註定斷無訛
18,132,借財,借錢財占卦困難，財空怨債不多疑 ，亥子庚辛於秋冬，貴人解可發財鄉，財銀借取問神明，托保求之亦可成，亥子庚辛財發動，目前不遂莫生嗔
19,133,買畜,買畜卦最為良卦，六畜昌盛大發興 ，福德相助合君意 ，東南南夏大吉昌，欲占買畜最為良，世應相旺百事昌，數定買來君合意，牛多生息馬騾強
20,134,開店,開店占之主大吉，開店可稱心如意 ，四五六月多財利，冬至平平獲利少，占之主開店進財，妻財持世斷無乖，春秋夏季財多息，一般冬至平平過
21,135,回鄉,回鄉占卦主平安 ，福德財源兩齊美 ，隨行相伴有貴人 ，路途安心回家鄉，占此平安回鄉里，財源福德要相全，伴侶定教逢貴客，心寬路途更覺曉
22,136,放賬,放款時機兩相宜 ，夏秋得意無煩惱 ，日後小心有心人 ，任君為之不用疑，此卦占來防賬宜，先兵後緩不差池，夏秋得意無煩惱，步步為之不必疑
23,137,風水,墳塋風水不為佳，無情官司口舌重 ，坑裂破子孫不順 ，速尋龍穴好安葬，龍脈墳塋有差池，定主無情不必誇，左右有坑還有破，別尋求巽壽榮華
24,138,賭博,賭博求財難得意，春夏四季多不利，輸盡錢財不須疑 ，人財兩傷心難安，求謀先聲莫強求，本官財盡始相還，秋冬欠勝無些利，春秋還勞不耐煩
25,141,收成,收成五榖財神降，一家歡樂樂無窮 ，定可獲得大豐收，一年栽種兩年收，財臨應有收成位，稱作田禾十倍增，牛水米幹天意好，來年收勝兩年春
26,142,住宿,住宿問卦陰煞重，小心住到有問題 ，勞碌奔馳無處宿 ，另找別房有益處，子孫無位兩文書，怎奈旁人搬是非，有館被人尋奪去，枉徒勞碌費賓士
27,143,求子,求子占之可順心，子臨福位子孫明，日後產麟麟得子，貴人化解可如願，子臨福位子孫明，求子占之許遂心，若是早年刑克過，如今不久產麒麟
28,144,出行,出行占卦恐非宜，出外目前有是非，相沖劫財多阻隔 ，待日再行平安吉 ，此行非宜恐有災，兄弟臨門有是非，世應逢沖多阻礙，不宜妄動且遲遲
29,145,桃花,占之桃花順心懷，異性緣起好時機，專一可得心如意，郎才女貌福慧歸，取魚占之遂心懷，上流利得任君懷，專心至志君須得，縱橫張網登釣台
30,146,夜夢,夜夢凶兆不需疑，名聲財利事不濟，家道人丁有驚恐，意外造運福自來，君逢夜夢不相疑，事不順心傷名利，人丁家道六畜驚，時來運到蒙魂齊
31,147,同居,同居情緣難合意，消除念頭轉心意，貴人相解如願償，日後免別離後悔，君爻持世未和諧，入贅求婚莫妄為，只好回頭尋別計，免教別後有悲哀
32,148,口舌,口舌是非多異端，正是逢凶運不開，盡量不與人計較，方保事後寬心放，是非口舌事端多，世位逢財事不安，凡事勸君饒一著，事後放寬心保全
33,151,脫貨,脫貨賣出有困難，反覆延誤空往還，四五六月可賣出，期過就會有牽纏，君占脫貨一時難，反復延挨空往還，巳午未臨才可脫，過期又恐有牽纏
34,152,見貴,拜見貴人正當時，喜氣貴人長上提，但防小人意外傷，名利雙收可平安，君占見貴事如何，一見應知喜氣多，多利重重終有望，先天神數不差訛
35,153,飼養,飼養不用擔心憂，會有重重財喜臨，福德照運正當時，事業不必憂盡快，卦占喜事兩重財，福德星臨應上來，若問春蠶休掛慮，十分財喜稱心懷
36,154,收帳,收帳送達主順利，上下貴人多得力，必然可以平安歸，完成任務收取財，收解錢糧主太平，六爻無鬼不虛驚，上下貴人多得力，定官得利轉家庭
37,155,修宅,修宅建造事可為，吉課選時萬事吉，修後財源勝從前，任君造作不須疑，數占起造許君為，日吉時良萬事宜，起後財源還許勝，不須疑君勿造作
38,156,生意,生意問卦喜氣臨，貴人當運應可行，生意事業百事昌，名利雙收不用比，福德星強喜氣臨，生意之中百事宜，當道貴人應可托，從今名利不賓士
39,157,文件,文書卦見領文憑，反反覆覆實可疑，巳午未日終有望，過期又恐生變數，文憑重見領文憑，反復其中實可疑，巳午未火局臨貴，過期又恐有耽遲
40,158,訴狀,訴狀答辯許順情，文書供詞見公理，得理則免受刑罰，他日方知卦似神，占之訴辯遂情許，文書官鬼兩分明，向陽有理無刑罰，卦似神日後方知
41,161,陞遷,陞遷占卦有職位，秋夏陞遷必升官，貴人化解不須疑，財官兩旺運綿綿，財爻應來可升官，仕宦占之必主歡，秋夏喬遷消息到，人情謀幹兩周全
42,162,尋人,尋人占此恐難安，陰險重重卦未吉，此人恐有多災難，耐心多訪神保佑，陰節重重卦未安，尋人占此恐難幹，世克應文應可退，只宜訪察可心寬
43,163,選舉,選舉占之得吉祥，文書官鬼兩星明，財官雙美兩如意，五鬼意外來阻礙，納監占之怕子孫，文書官鬼兩星明，崢嶸仕路何須慮，定注財物兩稱心
44,164,調解,調解應知不順情，雙方對沖兩相侵，各懷鬼胎多反覆，雙方忍耐免虛驚，文書官鬼兩相侵，和事應知不順情，有事定然反復去，忍耐修心待天明
45,165,婚姻,婚姻占之十分宜，官鬼妻財兩相生，誤會阻礙貴人解，祖德餘蔭天生定，求婚占之十分宜，官鬼妻財見之行，更喜媒人多助力，定教舉案得齊眉
46,166,六甲,六甲占卦險與安，臨產略略有虛驚，庚辛申酉長生日，有驚無險母子安，孕育求占險與平，略有虛驚需安胎，庚辛卯酉長生日，臨產雖凶身不驚
47,167,交易,交易占之卦最宜，應來貴人有扶助，雖然財利只平平，信實成交沒誤差，占之最宜交易期，應來生世有扶持，財利平穩然是福，誠信老實沒是非
48,168,娶妻,娶妻占卦問姻緣，妻財不現事纏綿，姻緣未到造緣佳，留戀有口舌是非，卦占娶妾問姻緣，事拖延妻財不現，計問招偏緣不是，見枉圖樂莫流連
49,171,置產,置產買田不可為，種植運不佳虧本，天災搞害刻難檔，其他打算免虧錢，置田占此不為安，差重糧多莫妄千，又見鬼爻臨世位，要防反覆幾多般
50,172,音信,音信巳午未夏季，擔憂著急是不用，六親骨肉皆平安，免得家中望眼穿，家信來時應已午，六親骨肉喜平安，勸君急整歸家計，家中望眼穿門堂
51,173,選舉,選舉功名要斟酌，貴人不顯拄費神，當防小人意外災，強求日後被人侵，納吏功名宜酌勘，文章無位枉勞神，莫嫌以卦多屯咎，只恐他時反被侵
52,174,告狀,占卦告狀詞有利，財旺生官福祿全，冬夏權多得力成，許君財喜勝平安，君占告狀卦逢官，財旺生官福祿全，多得外力冬夏成，財喜兩平安許君
53,175,買貨,買賣問卦神靈真，定是求財順心意，運到貴人皆相助，定有收穫多財利，今因買賣問神靈，定是求謀得遂心，當道貴人皆有助，此行端的有收成
54,176,官運,求官占卦官運昌，財旺生官福祿饒，秋令冬時得好缺，親榮妻貴樂家門，求官占此卦為高，福與祿財旺生官，好官道秋令冬時，樂滔滔妻貴顯親
55,177,工作,占卜工作進公門，上司君臨百事亨，秋夏冬時多利益，春間少順莫生嗔，君今意若進衙門，百事亨福德星君，利益在秋夏冬時，莫生嗔春間少收
56,178,徵人,徵人員工來占卜，福德星臨事亨通，雖是眼前多阻隔，遲遲方許順可成，君因討僕來占卜，福德星臨事事亨，眼前多阻雖是難，或可交成會延遲
57,181,壽年,卦卜知君問壽年，生來福祿依天權，雖知生死枯榮事，貴人解延年益壽，卦卜知君問壽年，生來衣祿付天權，雖知生死榮枯事，八八加三夢九泉
58,182,家宅,家宅重重是非見，破財疾病有徵兆，春夏秋冬四季凶，最喜貴人來解危，家宅重重見是非，破財疾病有些微，最喜鬼神多助力，春夏秋冬得相宜
59,183,合夥,日月合卦最為靈，君占合夥事可為，雙方利益皆如意，莫猜多疑聽是非，日月同逢卦最靈，君占合夥甚施為，六爻安靜身心旺，不必多疑聽是非
60,184,失物,君問失物難尋回，費神傷身枉自忙，內外兩方分贓去，勸君放下莫思量，應來持世福神傷，失物占之枉自忙，內外兩人分卻去，勸君且舍莫思量
61,185,走失,占卜走失重重現，終就走失會轉頭，壬癸亥子終有信，何必著急心煩憂，世高應下重重見，走失終須得轉頭，癸亥子丑終有信，何必著急去追尋
62,186,行人,君問行人何時到，音信遲未傳臨門，庚辛巳午交臨日，可望人財兩見之，君問行人何日至，應未臨門音信遲，庚辛巳午交臨日，人財兩見善心宜
63,187,學藝,學藝求財此卦奇，福神降臨是時候，秋冬財源多順意，更遇高人百事宜，手藝求財此卦奇，子孫持世事周齊，近秋冬廣進財源，遇高人百事皆宜
64,188,護送,護送須忌有虛驚，費心勞力不得寧，交卸完全心始放，若不小心有傷害，解人須忌有虛驚，勞心費力不得寧，交卸擔兒始放心，有傷刑小心前行
65,211,洽約,洽約占卜卦最宜，朋友重重兄弟齊，快速邀約保全美，庚辛中酉得全財，會事占之卦最宜，朋友重重兄弟齊，作速去邀保全美，庚申辛酉得全財
66,212,子病,子病逢喜何須憂，不必憂心貴人醫，內外陰公災星至，待換節氣病移除，子孫喜至何須慮，不必憂疑且問醫，虎頭蛇尾災星退，待交節氣病才移
67,213,買屋,買屋未安財不至，投資房地心難安，仲介多欲難成就，不如捨此別家看，財不生世卦未安，君占買屋慢心歡，中人多欲難成就，舍此不如別路看
68,214,身體,病症犯內外陰公，身體有救免憂慮，時逢卯酉貴人臨，造福祈神莫再遲，占病星辰命犯之，五行有救免憂虞，時逢卯酉災星退，作福祁神莫待遲
69,215,親病,親病無端疾病犯，內外陰公官鬼動，貴人化解無礙事，放下心頭莫牽掛，父母無端疾病占，卦中財動鬼官連，子未占卜無應事，若把心頭莫掛牽
70,216,移居,卦問移居可順心，從今財物自然增，目前口舌需防備，移過方安切莫停，移居卦問遂心許，財物自然增恭喜，小婦口舌須防備，莫停快移方安全
71,217,分家,分家何患不稱心，子孫持世益千金，官鬼雖有總無忌，老實親族信可憑，分家何患不稱心，千金益子孫持世，無忌官鬼臨應位，老實親族方可信
72,218,求職,吉神求職順心意，求職無妨慢慢來，最喜逢貴稱心歡，更遇高人笑開懷，財爻持世進妻財，謀事無妨慢慢來，最喜星辰應在意，更過高人百事宜
73,221,家宅,卦問家宅吉神地，家宅占之大吉昌，秋冬季來財正旺，夏春口舌必須防，子神持世福神強，家宅占之大吉昌，秋冬季時財正旺，夏春口舌也須防
74,222,護送,護送不可不堤防，嘔氣傷身人不安，幸得貴人多助力，雖然勞苦不勞心，解人不可不提防，慪氣傷財傷不安，幸得貴人多助力，勞苦不傷心實幹
75,223,走失,走失家人在北方，細心查察不須忙，秋冬占卦難尋覓，秋夏交臨定返家，走失家人在北方，細心察訪不須忙，秋冬占此難尋覓，春夏交臨定返鄉
76,224,學藝,卜卦學藝順心意，雖微利益天安排，況且手藝多靈巧，勞心勞力事可為，世應相生無不遂，唯利微益數安排，況嫌手藝多靈巧，事情皆勞心勞力
77,225,失物,失物占卜不須憂，賊人藏之可緩尋，庚甲寅申會見面，賊人自犯失財運，錢財失卻不須憂，內外藏之可緩求，庚午寅申會見面，機謀賊星該敗失
78,226,壽年,卜卦問壽世如何，又恐光陰去已多，壽能八八造福基，貴人化解延年壽，君來問壽世如何，光陰去多甲子年，今歲欲防跌撞運，壽元八八夢南柯
79,227,行人,占問行人人不定，丑未庚辛方有知，到時會順君之意，人財現自有安排，應來生世遂心懷，君問行人不日來，丑未庚午方有信，人財兩見卦安排
80,228,合夥,占卜合夥財不佳，官鬼營利不順利，將來必有爭端議，單自謀圖錦上花，占此財爻不甚佳，與人合夥事難誇，爭端起處在前頭，別圖錦上花莫忘
81,231,見貴,見貴卜須苦託幫，不必憂疑可順心，貴人引薦不必疑，春夏兩季可如意，見貴還須苦托人，鬼爻臨印要勞心，應來生世他生我，不必憂疑許遂心
82,232,訴狀,訴狀占知許順心，貴星降臨福神欣，逢寅午戌日月應，貴人解刑貴脫身，訴狀占之許遂心，子孫持世福神欣，待交戍日嫌寅午，免罪除刑好脫身
83,233,修宅,君問卜修宅而來，建造房宅有吉凶，需貴人指點避凶，雞鳴得助大吉祥，君因起造來問卜，豎柱上樑有吉宿，君因起造占今卦，數鳴遇雞任君架
84,234,文件,卦卜文件來助君，領文件心可安心，亥子丑日方可得，貴人相助得尺緣，妻財持世主升官，佔領文書信可安，南方交得亥子丑，遇奇緣貴人當道
85,235,收帳,收帳問卜事難諧，憂心憂慮事不佳，若不小心謹慎防，厄耗刑傷損災厄，鬼爻持世事難諧，收解錢糧事不佳，謹慎小心需防災，定主刑耗兩相加
86,236,脫貨,脫貨求財事可成，財旺生官可安心，亥子丑臨交易佳，貴人相助更周全，妻財旺相可升官，脫貨求財亦許安，交易日月亥子丑，四方得貴人相助
87,237,生意,生意占卦許順情，誠實買賣免憂心，只宜謹慎防意外，經營得利任君行，生意占之許遂情，來人不用苦憂心，宜謹慎斟酌行事，出入經營任君行
88,238,飼養,君問卦飼養大吉，春季有益定不差，更有貴人來相助，寅卯得利更可誇，卯木妻財占大佳，春蠶有益定無差，更兼外卦來相助，絲利重重甚可誇
89,241,音信,音訊遲遲未見來，須逢子午一音開，消息萬事皆安穩，不必憂疑且放懷，問信重重未見來，要逢子午一音開，家中萬事皆安穩，不必憂疑且放懷
90,242,徵人,徵人下屬貴人弱，誠徵占之事不良，徵得是非防口舌，最好仔細再商量，歸妹之卦子孫強，買僕占之事不良，買得終須防口舌，商量仔細莫再還
91,243,買貨,君卜買貨必順意，君正逢財德喜生，公平出入兼得利，貴人相助財有盛，世位逢官應喜生，君占置貨必如心，公平得利要佈施，相助應教有貴人
92,244,工作,卜上司想換工作，財鬼逢沖事不安，莫問他人運勢好，只宜守舊可寬心，八純之卦問跟官，兩不安沖財逢鬼，莫問營利它號好，守舊方可只宜寬
93,245,告狀,君告狀訴得理明，官司解運可得勝，造福貴人來相助，秋冬猶覺得瑞權，告狀事旺又升官，君問官司理勢全，妻得貴人來助力，覺秋冬猶得全心
94,246,置產,置田卜得良田卦，栽種投資兩相宜，祿位福神多健旺，更得地利理相投，置田端此卦為高，中正相逢定主交，福神祿位多積福，又主詞情可相投
95,247,官運,問卜官運可求官，百里千程得逐緣，貴人轉運價更高，他日時地姓名傳，鬼爻持世可求官，得遂緣百里鵬程，舟楫奇才因價重，管教時地姓名傳
96,248,選舉,中央選舉難順心，必須斟酌再三思，錢財流失難成就，慎防五鬼官司臨，納吏功名可費利，必須斟酌再三思，鬼爻持世難成就，不得還防有是非
97,251,住宿,君卜住宿不可住，神鬼相爭不安寧，西南方上更難住，問別間店方可成，為因尋官去尋人，兄弟相爭有奪爭，若問別鄉尤可就，西南方上甚難成
98,252,口舌,是非口舌不須爭，不計福德保太平，任有好話盡無用，自有貴人來調解，爭必是非口舌苦，福德神強保太平，自有貴人來喝散，任有好話總無憑
99,253,桃花,間卦桃花順如心，逆水行舟走上風，安心穩守南方利，桃花返回兩得利，君問取魚任君心，逆風而上陸行舟，守南方有利人緣，功成業就財利生
100,254,同厝,同居男女要斟酌，神鬼應世枉勞心，重重阻隔財遭劫，只可回頭別處尋，入贅求婚要思量，鬼爻持世勞心力，重重劫財又險阻，回頭他處尋方可
101,255,出行,出行占卦不須疑，當運高昂貴人顯，一路順風無阻礙，路途平安財利豐，出行占此不須疑，世位高分應位低，世克應爻無阻隔，重重財喜遂心機
102,256,收成,收成風調雨順成，君問收成快稱心，天助五穀財無損，財豐利獲君稱心，歲晴半雨好年成，君問秋收快稱心，五穀豐登無折耗，後來方許遂君心
103,257,夜夢,夜夢吉凶卦不祥，預防意外有之災，三思謹慎如神助，凡事不貪得心安，夜夢蹊蹺總不祥，須防有釁起蕭牆，謹慎三思靈光現，凡事饒人得久長
104,258,求子,卦占求子不如心，貴人不顯子難生，陰德先天有定數，解化辰午產貴子，卦占求子許稱心，福德重重子易生，數好先天應不謬，辰年午歲產麒麟
105,261,考運,考運升學稱如意，當防內除礙功名，策論經書如勉勵，定教考績有名聲，官爻生世好求名，入學占之許遂心，策論經書如勉勵，定教科舉有聲名
106,262,公職,公職財失難上榜，貴人不顯官運剋，他年再考較有望，今年公職不如意，財破文書難上榜，子孫太旺又傷官，二科之內有機會，科舉今年可自然
107,263,姻緣,卦占姻緣最為良，財喜貨重福祿強，夫婦相隨多福壽，興家立業好呈祥，招婿占卦為良善，福祿強財喜重重，福壽夫婦多和諧，立業興家吉祥雲
108,264,求醫,求醫難醫業障深，福不來良藥不靈，藥無緣內外陰礙，再逢華陀也難寧，醫憑福德可持身，積福之家藥靈扶，楚楚服藥多無緣，再逢扁鵲也難成
109,265,取討,取討資財此卦靈，托中求取事難成，雖是月前多阻隔，遲遲方許有佳音，資財討取卦最靈，求取托事成局險，月前阻礙須等待，有佳音遲遲方許
110,266,貴人,卦問貴人天必助，若詢貴人貴必臨，坎逢壬癸亥中貴，要貴但看戌丑辰，若問天晴天必晴，若詢不雨雨來霖，陰雨水坎壬癸亥，戍申庚金誠來開
111,267,運途,運途何須問好壞，喜君轉運莫猜疑，雖然早運多成敗，時來應知福綿長，命運何須問短長，喜君運限莫相商，早年敗多成少事，應知福壽長時來
112,268,學業,君問學業聖賢書，讀書事業可堪圖，官臨世位文星旺，選入功名聲世昌，經綸事業聖賢書，可讀書方圖事業，文星旺位官臨世，功名入選住帝邦
113,271,尋人,尋人需貴人機緣，官鬼相交貴不顯，憂心憂人神佛求，四七十月可相期，鬼爻持世未為奇，欲去尋人要見機，莫若待他來自就，四十七月可相期
114,272,娶妻,求占娶妻問姻緣，內外陰有礙反覆，速速回頭前緣尋，福德賢妻多進福，今君取妾來問卜，內外鬼爻要反復，莫若須從前去尋，賢能進福妻多產
115,273,婚姻,婚姻降臨事多端，姻緣困難劫難安，官鬼相交貴不顯，一般難脫第三者，鬼爻持世問多端，君問求婚卻不安，更且媒人不得力，一般說出兩三般
116,274,交易,交易占之卦甚良，喜神持世財高強，買賣看來真順意，三七十一見禛祥，財爻持世必高強，交易占之卦甚良，買賣遂意看艮方，三七十一見真章
117,275,和事,調解須知有貴人，官鬼相交事難成，惟向東南求貴人，皆能歡喜得雙全，兩爻財盛來生世，和事須知遇貴人，唯向東南祈兆去，財能升位的千金
118,276,陞遷,陞遷財官兩星明，知君官爵得高陞，雖然官鬼有阻礙，管取春來顯名財，鬼爻文書兩字明，官爵高升知君意，雖然當道些微阻，沐浴聖恩取春來
119,277,六甲,六甲生產不順心，陰公磚祈保娘身，只待嬰兒離母腹，自然身體安康臨，六甲占之不遂心，許其香願保娘身，母體嬰兒皆平安，福壽自然永康寧
120,278,選舉,地方選舉問神明，福德星強喜氣臨，雖是眼前多阻隔，東西遇貴得前程，卦占納監問神明，喜氣臨福德星強，眼前多阻隔勿驚，遇貴東西前程得
121,281,借貸,借貸占卜不得宜，借貸雙方兩見奇，幾番財利遲遲有，目前猶未合時機，官鬼妻財兩見奇，與人借貸得便宜，幾番財利遲遲有，目下猶未合事機
122,282,賭博,賭博占此只平平，世應相生事有靈，三心二意心不定，四七十一定佳音，賭錢占此只平平，世應相生事有靈，利息不多財許穩，四七十一定佳音
123,283,回鄉,回鄉占此未為宜，後有麻煩是非多，且慢安身休妄動，他日再看起身回，占此未宜回鄉遲，屯占多是非會有，且安身心休妄動，不依數斷有差池
124,284,風水,君占風水可安寧，來龍左右最為奇，財福興隆各發達，人丁強旺家門興，君占風水主安寧，奇龍左右來得運，發達財福興隆客，強壯人丁樂昇平
125,285,開店,開店占之定可成，福星高照貴人來，子亥夏春多利益，何須憂愁莫猜疑，世高應下任君裁，開店占之定美哉，夏春子亥利息多，何須憂愁稱心懷
126,286,求財,占問求財會順心，東西東方正向欣，雖然勞費盡心力，財利終得百千金，占問求財是稱心，東西路道正相應，勞力費心雖然饑，利息終得須萬金
127,287,放賬,放款財利不得時，雙劫財源有猜疑，官鬼神表面降臨，只恐將來未必然，放帳應知要賺錢，兩重兄弟有些嫌，子孫雖是來臨世，只恐將來未必然
128,288,買畜,卦買禽畜來飼養，時運來到百事昌，且待北方財帛在，東西南方未為強，販賣六畜馬豬羊，百事昌時來運來，北方財帛須等待，水見東西南為難
